Rank,Released,Movie,"Worldwide
Box Office","Domestic
Box Office","International
Box Office"
768,2023,Operation Fortune: Ruse de guerre,"$27,542,984","$6,496,125","$21,046,859"
769,1984,Dune,"$27,503,491","$27,447,471","$56,020"
770,1981,Victory,"$27,453,000","$10,853,000","$16,600,000"
771,2015,Detective K: Secret of the Lost Island,"$27,230,725",,"$27,230,725"
772,1980,Flash Gordon,"$27,176,976","$27,107,960","$69,016"
773,1998,The Big Hit,"$27,073,371","$27,066,941","$6,430"
774,2021,Chaos Walking,"$27,072,169","$13,287,908","$13,784,261"
775,2003,Bulletproof Monk,"$26,922,492","$23,010,607","$3,911,885"
776,1982,Tron,"$26,919,100","$26,918,576",$524
777,2011,Jing mo fung wan: Chen Zhen,"$26,822,441","$50,433","$26,772,008"
778,2017,Judwaa 2,"$26,797,432","$1,431,255","$25,366,177"
779,2007,Shoot 'Em Up,"$26,796,824","$12,796,824","$14,000,000"
780,2015,Baahubali: The Beginning,"$26,736,665","$6,738,000","$19,998,665"
781,2008,Gonggongui jeog 3,"$26,497,132",,"$26,497,132"
782,1984,Conan the Destroyer,"$26,400,000","$26,400,000",
783,1995,Fair Game,"$26,097,497","$11,497,497","$14,600,000"
784,2022,Sǎo Hēi Xíng Dòng (扫黑行动),"$25,880,000",,"$25,880,000"
785,2002,Rollerball,"$25,852,508","$18,990,542","$6,861,966"
786,2019,Akinjeon,"$25,561,514","$216,494","$25,345,020"
787,1996,Escape from L.A.,"$25,426,861","$25,426,861",
788,2012,逆战 (Jik zin),"$25,414,221",,"$25,414,221"
789,2007,The Last Legion,"$25,357,771","$5,932,060","$19,425,711"
790,1981,Escape from New York,"$25,275,289","$25,244,700","$30,589"
791,2008,Race,"$25,195,835","$1,367,024","$23,828,811"
792,2011,Ivan Tsarevich i Seryy Volk,"$25,047,727",,"$25,047,727"
793,2016,Call of Heroes,"$25,040,561",,"$25,040,561"
794,2013,Te shu shen fen,"$25,040,000",,"$25,040,000"
795,1974,Thunderbolt and Lightfoot,"$25,000,000","$25,000,000",
796,2006,Kurtlar vadisi - Irak,"$24,906,717",,"$24,906,717"
797,2022,Bian Yuan Xing Zhe (边缘行者),"$24,860,818",,"$24,860,818"
798,2019,Tian Huo Wei Qing,"$24,825,246","$1,105","$24,824,141"
799,1990,Navy SEALs,"$24,824,126","$24,824,126",
800,2012,Tai Chi Zero,"$24,790,553","$212,094","$24,578,459"

801,1981,Mad Max 2: The Road Warrior,"$24,601,332","$24,600,832",$500
802,2015,Bou Chau Mai Sing,"$24,405,298","$32,053","$24,373,245"
803,2018,Manyeo,"$24,217,796",,"$24,217,796"
804,1986,Iron Eagle,"$24,159,872","$24,159,872",
805,2005,Ong-Bak,"$24,051,852","$4,563,167","$19,488,685"
806,1995,Virtuosity,"$23,998,226","$23,998,226",
807,2021,The Marksman,"$23,855,847","$15,566,093","$8,289,754"
808,2012,Da Shang Hai,"$23,824,720",,"$23,824,720"
809,1993,Striking Distance,"$23,798,623","$23,798,623",
810,2008,"OSS 117: Le Caire, nid d'espions","$23,726,360","$303,328","$23,423,032"
811,2005,Domino,"$23,574,057","$10,169,202","$13,404,855"
812,2012,Xiao Shi De Zi Dan,"$23,490,000",,"$23,490,000"
813,2000,Reindeer Games,"$23,360,779","$23,360,779",
814,2017,CHiPS,"$23,190,292","$18,600,152","$4,590,140"
815,1984,Missing in Action,"$22,812,411","$22,812,411",
816,2019,Shéntàn púsōng líng,"$22,799,838",,"$22,799,838"
817,2019,Black and Blue,"$22,730,144","$22,012,729","$717,415"
818,2012,Raia Gemu Saisei,"$22,713,078",,"$22,713,078"
819,2017,Extraordinary Mission,"$22,682,660",,"$22,682,660"
820,2013,Seupai,"$22,614,450",,"$22,614,450"
821,2013,Bullet to the Head,"$22,597,969","$9,489,829","$13,108,140"
822,1991,Lionheart,"$22,545,360","$22,545,360",
823,1979,The Warriors,"$22,490,943","$22,490,000",$943
824,2009,Chernaya Molniya,"$22,435,112",,"$22,435,112"
825,2018,Yun Nan Chong Gu Yunnan Valley,"$22,369,964","$101,516","$22,268,448"
826,1996,Bulletproof,"$22,230,840","$21,195,840","$1,035,000"
827,1984,The Last Starfighter,"$22,200,789","$22,200,789",
828,2006,The Marine,"$22,165,608","$18,844,784","$3,320,824"
829,2010,Three Kingdoms: Resurrection of the Dragon,"$22,139,590",,"$22,139,590"
830,2009,Ip Man,"$22,114,423",,"$22,114,423"
831,2003,The Medallion,"$22,108,977","$22,108,977",
832,2003,Biker Boyz,"$22,105,310","$21,908,034","$197,276"
833,1989,Lock Up,"$22,099,847","$22,099,847",
834,2012,Solomon Kane,"$22,024,849",,"$22,024,849"
835,2012,The Man with the Iron Fists,"$22,018,988","$15,634,090","$6,384,898"
836,1974,Death Wish,"$22,000,000","$22,000,000",
837,2015,Pokémon the Movie XY: Ring no Chomajin Hoopa,"$21,786,128",,"$21,786,128"
838,2018,Proud Mary,"$21,709,539","$20,868,638","$840,901"
839,1990,The Rookie,"$21,633,874","$21,633,874",
840,2008,Doomsday,"$21,621,188","$11,008,770","$10,612,418"
841,1996,The Quest,"$21,607,190","$21,607,190",
842,2017,The Prison,"$21,522,551","$207,481","$21,315,070"
843,1973,Enter the Dragon,"$21,485,066","$21,483,063","$2,003"
844,2007,Arn - Tempelriddaren,"$21,404,122",,"$21,404,122"
845,2022,Devotion,"$21,398,489","$20,511,938","$886,551"
846,2021,Rurôni Kenshin: Sai shûshô — The Beginning,"$21,318,560",,"$21,318,560"
847,1991,F/X2,"$21,075,831","$21,075,831",
848,1997,The Postman,"$20,841,123","$17,650,704","$3,190,419"
849,2006,Alex Rider: Operation Stormbreaker,"$20,722,450","$659,210","$20,063,240"
850,1986,F/X,"$20,603,715","$20,603,715",
851,1985,Code of Silence,"$20,345,361","$20,345,361",
852,1988,Action Jackson,"$20,257,000","$20,257,000",
853,1995,Sudden Death,"$20,214,270","$20,214,270",
854,1979,A Force of One,"$20,200,000","$20,200,000",
855,2018,Gu Jian Qi Tan Zhi Liu Yue Zhao Ming,"$20,079,528",,"$20,079,528"
856,2013,Tai Chi Hero,"$20,016,042","$30,830","$19,985,212"
857,1981,Outland,"$20,000,000","$20,000,000",
858,1983,Breathless,"$19,910,002","$19,910,002",
859,1996,Fled,"$19,892,205","$17,192,205","$2,700,000"
860,1998,Hard Rain,"$19,870,567","$19,870,567",
861,1987,Innerspace,"$19,816,619","$19,816,619",
862,2018,Ye Wen hui chuan: Zhang Tianzhi,"$19,781,947","$209,454","$19,572,493"
863,1992,Kuffs,"$19,618,135","$19,618,135",
864,2012,Go-ji-jeon,"$19,603,449",,"$19,603,449"
865,1981,Nighthawks,"$19,600,000","$14,600,000","$5,000,000"
866,2000,Get Carter,"$19,417,182","$14,967,182","$4,450,000"
867,2002,Half Past Dead,"$19,233,280","$15,567,860","$3,665,420"
868,2021,The Tomorrow War,"$19,220,000",,"$19,220,000"
869,1998,The Replacement Killers,"$19,035,741","$19,035,741",
870,1995,Johnny Mnemonic,"$19,006,201","$19,006,201",
871,1980,The Octagon,"$19,000,000","$19,000,000",
872,2011,The Heir Apparent: Largo Winch,"$18,967,760","$10,352","$18,957,408"
873,1988,Above the Law,"$18,869,631","$18,869,631",
874,2016,Asura : The City of Madness,"$18,736,628","$174,501","$18,562,127"
875,2011,Jûsan-nin no shikaku,"$18,727,440","$802,778","$17,924,662"
876,2001,3000 Miles to Graceland,"$18,708,848","$15,738,632","$2,970,216"
877,1985,Year of the Dragon,"$18,707,466","$18,707,466",
878,1985,Ladyhawke,"$18,400,000","$18,400,000",
879,2014,Sabotage,"$18,376,443","$10,508,518","$7,867,925"
880,2017,Zhui bu,"$18,339,343",,"$18,339,343"
881,1978,Good Guys Wear Black,"$18,300,000","$18,300,000",
882,2013,Machete Kills,"$18,273,009","$8,008,161","$10,264,848"
883,2010,Repo Men,"$18,195,238","$13,942,007","$4,253,231"
884,1996,Last Man Standing,"$18,149,997","$18,115,927","$34,070"
885,2012,Stolen,"$17,967,746","$289,773","$17,677,973"
886,2017,Shinobi no kuni,"$17,952,504",,"$17,952,504"
887,1996,The Crow: City of Angels,"$17,897,671","$17,897,671",
888,2015,Brothers,"$17,856,688","$656,688","$17,200,000"
889,2021,Monkey King Reborn,"$17,692,630",,"$17,692,630"
890,2015,The Accidental Detective,"$17,624,124",,"$17,624,124"
891,1985,Invasion U.S.A.,"$17,536,256","$17,536,256",
892,1970,Beneath the Planet of the Apes,"$17,489,009","$17,489,009",
893,1987,Masters of the Universe,"$17,336,370","$17,336,370",
894,1985,To Live and Die in L.A.,"$17,307,019","$17,307,019",
895,2009,12 Rounds,"$17,306,648","$12,234,694","$5,071,954"
896,2017,Jiao Zhu Chuan,"$17,283,136","$13,588","$17,269,548"
897,1996,The Phantom,"$17,220,599","$17,220,599",
898,1991,Hudson Hawk,"$17,218,916","$17,218,916",
899,1994,No Escape,"$17,213,233","$15,339,030","$1,874,203"
900,2016,Hardcore Henry,"$17,187,434","$9,252,038","$7,935,396"

901,1993,Sidekicks,"$17,180,393","$17,180,393",
902,1992,Freejack,"$17,033,142","$17,033,142",
903,2015,Boruto: Naruto the Movie,"$17,014,551","$259,028","$16,755,523"
904,1986,The Delta Force,"$17,005,599","$17,005,599",
905,2007,Death Sentence,"$16,907,831","$9,534,258","$7,373,573"
906,2020,Hiteumaen,"$16,821,116",,"$16,821,116"
907,2017,Salyut-7,"$16,755,928",,"$16,755,928"
908,1992,Deep Cover,"$16,639,799","$16,639,799",
909,2009,Der Baader Meinhof Komplex,"$16,498,827","$476,270","$16,022,557"
910,1994,Terminal Velocity,"$16,478,900","$16,478,900",
911,2019,Archimedes no Taisen,"$16,454,674",,"$16,454,674"
912,1986,Howard the Duck,"$16,295,774","$16,295,774",
913,1996,Supercop,"$16,270,600","$16,270,600",
914,2008,Dasavatharam,"$16,227,750",,"$16,227,750"
915,1986,Raw Deal,"$16,209,459","$16,209,459",
916,1997,Fire Down Below,"$16,148,906","$16,148,906",
917,1985,Death Wish 3,"$16,116,878","$16,116,878",
918,1982,Death Wish II,"$16,100,000","$16,100,000",
919,1989,No Holds Barred,"$16,093,651","$16,093,651",
920,1987,Over the Top,"$16,057,580","$16,057,580",
921,2022,Blacklight,"$16,017,096","$9,591,094","$6,426,002"
922,2015,Gangnam 1970,"$16,016,282",,"$16,016,282"
923,1965,Our Man Flint,"$16,000,000","$16,000,000",
924,1975,Breakout,"$16,000,000","$16,000,000",
925,2019,Shinui Han Soo: Gwisoopyeon,"$15,993,710","$67,578","$15,926,132"
926,1989,Next of Kin,"$15,942,628","$15,942,628",
927,1994,The Next Karate Kid,"$15,851,228","$8,751,228","$7,100,000"
928,2021,Gintama: The Final,"$15,775,367",,"$15,775,367"
929,2010,Once Upon a Time in Mumbai,"$15,753,012","$302,862","$15,450,150"
930,1994,The Getaway,"$15,545,115","$15,545,115",
931,2000,Bait,"$15,471,969","$15,325,127","$146,842"
932,1999,The Mod Squad,"$15,415,361","$13,260,050","$2,155,311"
933,1990,Death Warrant,"$15,394,200","$15,394,200",
934,2019,Miss Bala,"$15,364,632","$14,998,027","$366,605"
935,2012,Autoreiji: Biyondo,"$15,233,433","$3,878","$15,229,555"
936,2017,Kureyon Shinchan: Shūrai! Uchūjin Shiriri,"$15,227,612",,"$15,227,612"
937,2017,North East: Past Po Ma Zhang Fei,"$15,208,575",,"$15,208,575"
938,2019,The Fable,"$15,184,913",,"$15,184,913"
939,1999,The Corruptor,"$15,164,492","$15,164,492",
940,2014,Shingeki no kyojin endo obu za wârudo,"$15,161,611","$243,356","$14,918,255"
941,2016,Three,"$15,143,255","$119,550","$15,023,705"
942,2016,Pitbull: Niebezpieczne Kobiety,"$15,118,739",,"$15,118,739"
943,1991,Toy Soldiers,"$15,073,942","$15,073,942",
944,2009,Obitaemyy ostrov,"$15,000,000",,"$15,000,000"
945,2019,Cui mian · cai jue,"$14,917,516",,"$14,917,516"
946,2017,The Game Changer,"$14,875,966",,"$14,875,966"
947,2022,Serdtse parmy (Сердце пармы),"$14,845,677",,"$14,845,677"
948,1990,Fire Birds,"$14,760,451","$14,760,451",
949,2020,Ogon,"$14,746,111",,"$14,746,111"
950,2001,Iron Monkey,"$14,681,661","$14,681,661",
951,2018,Blood-Soaked GuangChang,"$14,651,659",,"$14,651,659"
952,2016,Sword Master,"$14,630,563","$75,526","$14,555,037"
953,1998,Soldier,"$14,623,082","$14,623,082",
954,1997,Jackie Chan’s First Strike,"$14,601,662","$14,601,662",
955,2016,High & Low: The Movie,"$14,590,783",,"$14,590,783"
956,1989,Kickboxer,"$14,533,681","$14,533,681",
957,1991,Flight of the Intruder,"$14,471,440","$14,471,440",
958,2018,Mayakwang,"$14,446,477",,"$14,446,477"
959,1992,Rapid Fire,"$14,356,479","$14,356,479",
960,2008,Tropa de Elite,"$14,319,195","$8,744","$14,310,451"
961,2002,Ballistic: Ecks vs. Sever,"$14,294,842","$14,294,842",
962,1975,The Eiger Sanction,"$14,200,000","$14,200,000",
963,1991,Highlander II: The Quickening,"$14,184,134","$14,184,134",
964,2004,Taegeugki: Hwinalrimyeo,"$14,080,854",,"$14,080,854"
965,1991,The Perfect Weapon,"$14,061,361","$14,061,361",
966,2013,Shootout at Wadala,"$14,038,660","$369,310","$13,669,350"
967,2012,Hong men yan,"$13,969,132",,"$13,969,132"
968,2017,The Missing,"$13,887,720",,"$13,887,720"
969,2016,I am a Hero,"$13,756,682",,"$13,756,682"
970,1992,Trespass,"$13,747,138","$13,747,138",
971,1995,Highlander: The Final Dimension,"$13,738,574","$13,738,574",
972,1998,Desperate Measures,"$13,678,274","$13,678,274",
973,2020,Dam bo,"$13,566,238",,"$13,566,238"
974,2019,Dabangg 3,"$13,553,861","$535,000","$13,018,861"
975,2019,bbaengban,"$13,551,495",,"$13,551,495"
976,2012,Tomorrow When the War Began,"$13,404,936","$4,936","$13,400,000"
977,2023,Gyoseob (교섭),"$13,325,763",,"$13,325,763"
978,2008,In the Name of the King: A Dungeon Siege Tale,"$13,233,220","$4,775,656","$8,457,564"
979,2021,OSS 117: Alerte rouge en Afrique noire,"$13,215,361",,"$13,215,361"
980,1984,The Evil That Men Do,"$13,106,767","$13,102,025","$4,742"
981,2018,Kobiety Mafii,"$13,100,948",,"$13,100,948"
982,2016,Saraba Abunai Deka: Long Goodbye,"$13,074,758",,"$13,074,758"
983,2000,The Way of the Gun,"$13,061,935","$6,047,856","$7,014,079"
984,2017,Boolhandang: Nabbeun Nomdeului Sesang,"$13,061,089",,"$13,061,089"
985,2020,Jeongsang hoidam,"$12,918,661",,"$12,918,661"
986,2016,Seondal: The Man who Sells the River,"$12,902,072","$97,223","$12,804,849"
987,1986,Highlander,"$12,900,000","$5,900,000","$7,000,000"
988,1998,Black Dog,"$12,857,351","$12,857,351",
989,2000,Highlander: Endgame,"$12,801,190","$12,801,190",
990,1999,The Omega Code,"$12,678,312","$12,610,552","$67,760"
991,2009,Street Fighter: The Legend of Chun-Li,"$12,660,287","$8,742,261","$3,918,026"
992,2002,Extreme Ops,"$12,624,471","$4,835,968","$7,788,503"
993,2018,PMC: deo beong-keo,"$12,478,635",,"$12,478,635"
994,2018,Kamen Raidâ Heisei Jenerêshonzu Foebâ,"$12,465,928",,"$12,465,928"
995,2007,Boy s tenyu 2,"$12,426,015",,"$12,426,015"
996,2022,Memory,"$12,390,986","$7,329,043","$5,061,943"
997,2008,Shaolin Girl,"$12,380,512",,"$12,380,512"
998,2008,Eye for an Eye,"$12,314,832",,"$12,314,832"
999,1971,Escape from the Planet of the Apes,"$12,300,000","$12,300,000",
"1,000",1971,Shaft,"$12,121,618","$12,121,618",

"1,001",1987,Fatal Beauty,"$12,046,526","$12,046,526",
"1,002",2017,Outrage Coda,"$11,983,269",,"$11,983,269"
"1,003",2019,City Hunter: Shinjuku Private Eyes,"$11,960,955",,"$11,960,955"
"1,004",2013,Duong Gia Tuong,"$11,906,509",,"$11,906,509"
"1,005",2018,Sungnan Hwangso,"$11,872,000","$101,417","$11,770,583"
"1,006",1991,Year of the Gun,"$11,820,000","$11,820,000",
"1,007",1988,Bloodsport,"$11,806,119","$11,806,119",
"1,008",1994,3 Ninjas Kick Back,"$11,744,960","$11,744,960",
"1,009",2013,Dhoom 3,"$11,723,620","$8,031,955","$3,691,665"
"1,010",2006,Banlieue 13,"$11,599,903","$1,200,216","$10,399,687"
"1,011",1999,Wing Commander,"$11,578,022","$11,578,022",
"1,012",2018,Wu Lin Guai Shou,"$11,573,104",,"$11,573,104"
"1,013",2000,The Legend of Drunken Master,"$11,546,543","$11,546,543",
"1,014",2022,wigyein 1bu (외계+인 1부),"$11,443,544","$168,309","$11,275,235"
"1,015",2018,Thaanaa Serndha Koottam,"$11,383,175",,"$11,383,175"
"1,016",2012,Reign of Assassins,"$11,354,230",,"$11,354,230"
"1,017",1997,Double Team,"$11,328,565","$11,328,565",
"1,018",2021,The Fable: Chapter Two,"$11,325,545",,"$11,325,545"
"1,019",1987,Extreme Prejudice,"$11,307,844","$11,307,844",
"1,020",2013,Toshokan Senso,"$11,294,442",,"$11,294,442"
"1,021",1991,One Good Cop,"$11,276,846","$11,276,846",
"1,022",1999,Chill Factor,"$11,263,966","$11,263,966",
"1,023",2017,Overdrive,"$11,247,280",,"$11,247,280"
"1,024",1986,Big Trouble in Little China,"$11,208,967","$11,100,000","$108,967"
"1,025",1998,Deep Rising,"$11,203,026","$11,203,026",
"1,026",2015,Daeho,"$11,172,111",,"$11,172,111"
"1,027",2018,Agnyaathavaasi,"$11,158,499",,"$11,158,499"
"1,028",1984,Tank,"$11,131,530","$11,131,530",
"1,029",2010,Jonah Hex,"$11,022,696","$10,547,117","$475,579"
"1,030",2020,Tsumi no Koe,"$10,983,063",,"$10,983,063"
"1,031",2017,High & Low The Movie 2 / End of Sky,"$10,956,658",,"$10,956,658"
"1,032",2001,Le pacte des loups,"$10,948,572","$10,948,572",
"1,033",2013,Himmatwala,"$10,871,870","$270,880","$10,600,990"
"1,034",2019,The Courier,"$10,862,201",,"$10,862,201"
"1,035",2015,Hei Mao Jing Zhang Zhi Fei Cui Zhi Xing,"$10,849,131",,"$10,849,131"
"1,036",2019,Saja,"$10,776,117","$102,982","$10,673,135"
"1,037",1985,Missing in Action 2: The Beginning,"$10,755,447","$10,755,447",
"1,038",1982,The Beastmaster,"$10,751,126","$10,751,126",
"1,039",2021,Realm of Terracotta,"$10,740,000",,"$10,740,000"
"1,040",2017,Ajin,"$10,735,896",,"$10,735,896"
"1,041",1999,Universal Soldier II: The Return,"$10,717,421","$10,447,421","$270,000"
"1,042",1993,RoboCop 3,"$10,696,210","$10,696,210",
"1,043",1989,The Package,"$10,647,219","$10,647,219",
"1,044",2006,A Dirty Carnival,"$10,638,098",,"$10,638,098"
"1,045",2009,The Boondock Saints 2: All Saints Day,"$10,629,320","$10,273,187","$356,133"
"1,046",2005,The Great Raid,"$10,597,070","$10,166,502","$430,568"
"1,047",2015,Deo Pon,"$10,510,802",,"$10,510,802"
"1,048",1985,American Ninja,"$10,499,000","$10,499,000",
"1,049",2017,Baadshaho,"$10,497,601",,"$10,497,601"
"1,050",1982,Silent Rage,"$10,490,791","$10,490,791",
"1,051",2004,Steamboy,"$10,468,867","$468,867","$10,000,000"
"1,052",1997,Operation Condor,"$10,461,161","$10,461,161",
"1,053",2017,Kolovrat,"$10,424,668",,"$10,424,668"
"1,054",2013,Jeonseolui Joomeok,"$10,388,780","$134,213","$10,254,567"
"1,055",2018,Kin,"$10,383,524","$5,718,096","$4,665,428"
"1,056",2018,Long Xia Xing Jing,"$10,381,054","$85,172","$10,295,882"
"1,057",1983,Revenge of the Ninja,"$10,325,628","$10,325,628",
"1,058",1998,Knock Off,"$10,319,915","$10,319,915",
"1,059",2017,Kamen Raidâ Heisei Jenerêshonzu Fainaru: Birudo…,"$10,289,397",,"$10,289,397"
"1,060",2017,Kuang Shou,"$10,217,493",,"$10,217,493"
"1,061",1999,Hak Hap,"$10,211,278","$10,211,278",
"1,062",2008,Punisher: War Zone,"$10,157,534","$8,050,977","$2,106,557"
"1,063",2018,Ying Xiong Ben Se 2018,"$10,079,961",,"$10,079,961"
"1,064",1988,Shakedown,"$10,068,039","$10,068,039",
"1,065",1993,Boiling Point,"$10,058,318","$10,058,318",
"1,066",2000,Godzilla 2000,"$10,037,390","$10,037,390",
"1,067",1989,Cyborg,"$10,030,875","$10,030,875",
"1,068",2012,For Greater Glory: The True Story of Cristiada,"$10,026,255","$5,669,081","$4,357,174"
"1,069",2016,Tamjung Hong Gil-dong: Sarajin Ma-eul,"$10,020,965","$67,054","$9,953,911"
"1,070",1988,Iron Eagle II,"$10,000,000","$10,000,000",
"1,071",1972,Shaft’s Big Score,"$10,000,000","$10,000,000",
"1,072",1986,Murphy's Law,"$9,947,631","$9,947,631",
"1,073",2022,Haejeok doggaebi gitbal (해적: 도깨비 깃발),"$9,888,157",,"$9,888,157"
"1,074",2011,Badrinath,"$9,818,936",,"$9,818,936"
"1,075",2017,Peace Breaker,"$9,796,094",,"$9,796,094"
"1,076",2017,The War of Loong,"$9,782,949",,"$9,782,949"
"1,077",2006,Running Scared,"$9,729,088","$6,855,137","$2,873,951"
"1,078",1984,Cloak & Dagger,"$9,719,952","$9,719,952",
"1,079",2023,Dyun Mong (断网),"$9,605,591",,"$9,605,591"
"1,080",2017,God of War,"$9,560,020","$53,496","$9,506,524"
"1,081",2020,Okei! Madam,"$9,529,935",,"$9,529,935"
"1,082",2011,Salvando al Soldado Perez,"$9,330,465","$1,400,726","$7,929,739"
"1,083",2012,Serbuan maut,"$9,297,407","$4,105,123","$5,192,284"
"1,084",1991,Stone Cold,"$9,286,314","$9,286,314",
"1,085",2022,Kesisme: Iyi Ki Varsin Eren,"$9,279,013",,"$9,279,013"
"1,086",2017,Zashchitniki,"$9,043,794",,"$9,043,794"
"1,087",1989,Renegades,"$9,015,164","$9,015,164",
"1,088",2016,Super Express,"$8,980,243",,"$8,980,243"
"1,089",1983,Deathstalker,"$8,890,685","$8,890,685",
"1,090",2016,Bastille Day,"$8,831,974","$50,269","$8,781,705"
"1,091",2017,Aknyeo,"$8,830,002","$27,741","$8,802,261"
"1,092",1985,Gotcha,"$8,823,269","$8,823,269",
"1,093",1973,Battle for the Planet of the Apes,"$8,800,000","$8,800,000",
"1,094",2016,Chô kôsoku! Sankin kôtai ritânzu,"$8,763,957",,"$8,763,957"
"1,095",2019,Chui Shao Ren,"$8,719,427","$150,481","$8,568,946"
"1,096",2023,Guy Ritchie’s The Covenant,"$8,678,963","$8,678,963",
"1,097",1980,The Big Brawl,"$8,527,743","$8,527,743",
"1,098",2021,Way Down,"$8,452,720",,"$8,452,720"
"1,099",2019,War,"$8,436,133","$3,640,355","$4,795,778"
"1,100",2001,John Carpenter’s Ghosts of Mars,"$8,434,601","$8,434,601",

"1,101",1979,Meteor,"$8,400,000","$8,400,000",
"1,102",1997,Turbo: A Power Rangers Movie,"$8,363,899","$8,363,899",
"1,103",2007,"Gekijô-ban Kamen Raidâ Den-Ô: Ore, tanjô!","$8,353,721",,"$8,353,721"
"1,104",2016,Siganitalga (시간이탈자),"$8,339,975","$58,689","$8,281,286"
"1,105",1999,Twin Dragons,"$8,332,431","$8,332,431",
"1,106",2015,Batalon,"$8,292,235",,"$8,292,235"
"1,107",2012,Tong que tai,"$8,264,881",,"$8,264,881"
"1,108",2018,A.X.L.,"$8,259,753","$6,501,381","$1,758,372"
"1,109",2021,The Protégé,"$8,256,029","$7,446,823","$809,206"
"1,110",2019,Code Geass: Fukkatsu No Lelouch,"$8,189,684",,"$8,189,684"
"1,111",2009,BLUE,"$8,125,973","$321,640","$7,804,333"
"1,112",1998,Firestorm,"$8,123,860","$8,123,860",
"1,113",2010,Veer,"$8,049,862","$527,193","$7,522,669"
"1,114",2018,Black Water,"$8,023,159",,"$8,023,159"
"1,115",2012,The Sweeney,"$8,000,366","$26,345","$7,974,021"
"1,116",1948,The Three Musketeers,"$8,000,000","$8,000,000",
"1,117",1968,The Devil's Brigade,"$8,000,000","$8,000,000",
"1,118",1985,Runaway Train,"$7,936,012","$7,936,012",
"1,119",2015,The Final Master,"$7,900,000",,"$7,900,000"
"1,120",2010,Centurion,"$7,885,048","$123,570","$7,761,478"
"1,121",2019,Eiga: Tôken ranbu,"$7,858,150",,"$7,858,150"
"1,122",2015,Seinto Seiya: Legend of Sanctuary,"$7,851,441",,"$7,851,441"
"1,123",2018,7 Guardians of the Tomb,"$7,835,554",,"$7,835,554"
"1,124",2013,Reonningmaen,"$7,818,396",,"$7,818,396"
"1,125",2016,Pitbull. Nowe porzadki,"$7,802,960",,"$7,802,960"
"1,126",1991,If Looks Could Kill,"$7,781,025","$7,781,025",
"1,127",2020,Yakusoku no Neverland,"$7,761,083",,"$7,761,083"
"1,128",2018,Beirut,"$7,760,380","$5,019,226","$2,741,154"
"1,129",2007,DOA: Dead or Alive,"$7,755,686","$480,314","$7,275,372"
"1,130",2017,Yin Bao Zhe,"$7,736,408","$118,384","$7,618,024"
"1,131",2007,The Hunting Party,"$7,729,552","$876,671","$6,852,881"
"1,132",1990,Blue Steel,"$7,701,707","$7,701,707",
"1,133",1994,Surviving the Game,"$7,690,013","$7,690,013",
"1,134",1984,Ninja III: The Domination,"$7,610,785","$7,610,785",
"1,135",2009,Ong-Bak 2,"$7,583,050","$102,458","$7,480,592"
"1,136",2019,Kamen raidâ Reiwa Za Fâsuto Jenerêshon,"$7,529,337",,"$7,529,337"
"1,137",2008,Tashan,"$7,512,447","$457,380","$7,055,067"
"1,138",1981,An Eye for an Eye,"$7,496,681","$7,496,681",
"1,139",2022,Ponniyin Selvan: Part One,"$7,408,944","$4,918,000","$2,490,944"
"1,140",2007,The Condemned,"$7,371,706","$7,371,706",
"1,141",2018,Simmba,"$7,362,331","$5,102,129","$2,260,202"
"1,142",2016,Mafiya: Igra na vyzhivanie,"$7,313,343",,"$7,313,343"
"1,143",1988,Off Limits,"$7,242,035","$7,242,035",
"1,144",2017,Birth of the Dragon,"$7,220,490","$6,901,965","$318,525"
"1,145",2017,Mugen no jûnin,"$7,164,577","$150,532","$7,014,045"
"1,146",2016,Cuerpo de élite,"$7,145,405",,"$7,145,405"
"1,147",2021,Kogda padali aisty (Чернобыль),"$7,129,817",,"$7,129,817"
"1,148",2015,Gekijouban Kamen raidâ Doraibu: Sapuraizu fyûch…,"$7,118,376",,"$7,118,376"
"1,149",1969,Where Eagles Dare,"$7,100,436","$7,100,000",$436
"1,150",1978,Force 10 from Navarone,"$7,100,000","$7,100,000",
"1,151",2007,Rescue Dawn,"$7,037,886","$5,490,423","$1,547,463"
"1,152",2022,Desibel (데시벨),"$7,037,457","$60,653","$6,976,804"
"1,153",2008,Arn - Riket vid vägens slut,"$6,998,907",,"$6,998,907"
"1,154",1985,Stick,"$6,964,734","$6,964,734",
"1,155",1986,Blue City,"$6,947,000","$6,947,000",
"1,156",1989,Dead Bang,"$6,935,216","$6,935,216",
"1,157",1985,Red Sonja,"$6,908,640","$6,905,861","$2,779"
"1,158",2007,Redline,"$6,881,021","$6,881,021",
"1,159",1987,Death Wish 4: The Crackdown,"$6,880,310","$6,880,310",
"1,160",2016,Blood Father,"$6,820,000",,"$6,820,000"
"1,161",2007,Apocalypse Code,"$6,811,168",,"$6,811,168"
"1,162",2018,Jai Simha,"$6,763,950",,"$6,763,950"
"1,163",2015,Huai Dan Bi Xu Si,"$6,733,311",,"$6,733,311"
"1,164",1985,Into the Night,"$6,720,160","$6,720,160",
"1,165",2020,Psy 3: W imie zasad,"$6,717,718",,"$6,717,718"
"1,166",2021,Yoocheitalja,"$6,648,164",,"$6,648,164"
"1,167",2016,Bing He Zhui Xiong,"$6,640,736",,"$6,640,736"
